token,tokenId,amount,price,currency,blockTimestamp,timestamp,datetime,price_eth
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,3755,1,50000000000000000,0x0000000000000000000000000000000000000000,1743670259,1743670259,2025-04-03 08:50:59,0.05
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,927,1,44000000000000000,0x0000000000000000000000000000000000000000,1743670199,1743670199,2025-04-03 08:49:59,0.044
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,1000,1,53000000000000000,0x0000000000000000000000000000000000000000,1742805395,1742805395,2025-03-24 08:36:35,0.053
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,922,1,50000000000000000,0x0000000000000000000000000000000000000000,1742528135,1742528135,2025-03-21 03:35:35,0.05
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,6989,1,45000000000000000,0x0000000000000000000000000000000000000000,1741833599,1741833599,2025-03-13 02:39:59,0.045
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,1944,1,49000000000000000,0x0000000000000000000000000000000000000000,1741833575,1741833575,2025-03-13 02:39:35,0.049
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,4565,1,69000000000000000,0x0000000000000000000000000000000000000000,1741833539,1741833539,2025-03-13 02:38:59,0.069
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,9766,1,43000000000000000,0x0000000000000000000000000000000000000000,1741687367,1741687367,2025-03-11 10:02:47,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,9689,1,43000000000000000,0x0000000000000000000000000000000000000000,1741687343,1741687343,2025-03-11 10:02:23,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,2341,1,43000000000000000,0x0000000000000000000000000000000000000000,1741687295,1741687295,2025-03-11 10:01:35,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,2942,1,43000000000000000,0x0000000000000000000000000000000000000000,1741687259,1741687259,2025-03-11 10:00:59,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,7529,1,42000000000000000,0x0000000000000000000000000000000000000000,1741687247,1741687247,2025-03-11 10:00:47,0.042
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,3668,1,42000000000000000,0x0000000000000000000000000000000000000000,1741678271,1741678271,2025-03-11 07:31:11,0.042
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,2151,1,43000000000000000,0x0000000000000000000000000000000000000000,1741678151,1741678151,2025-03-11 07:29:11,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,67,1,43000000000000000,0x0000000000000000000000000000000000000000,1741678043,1741678043,2025-03-11 07:27:23,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,6229,1,42000000000000000,0x0000000000000000000000000000000000000000,1741677971,1741677971,2025-03-11 07:26:11,0.042
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,1331,1,42000000000000000,0x0000000000000000000000000000000000000000,1741677947,1741677947,2025-03-11 07:25:47,0.042
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,2766,1,40000000000000000,0x0000000000000000000000000000000000000000,1741677911,1741677911,2025-03-11 07:25:11,0.04
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,346,1,39000000000000000,0x0000000000000000000000000000000000000000,1741677887,1741677887,2025-03-11 07:24:47,0.039
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,6223,1,39000000000000000,0x0000000000000000000000000000000000000000,1741677839,1741677839,2025-03-11 07:23:59,0.039
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,3914,1,39000000000000000,0x0000000000000000000000000000000000000000,1741037159,1741037159,2025-03-03 21:25:59,0.039
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,5341,1,43000000000000000,0x0000000000000000000000000000000000000000,1739025119,1739025119,2025-02-08 14:31:59,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,3147,1,43000000000000000,0x0000000000000000000000000000000000000000,1739025059,1739025059,2025-02-08 14:30:59,0.043
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,4177,1,40000000000000000,0x0000000000000000000000000000000000000000,1739024999,1739024999,2025-02-08 14:29:59,0.04
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,5929,1,39000000000000000,0x0000000000000000000000000000000000000000,1739024951,1739024951,2025-02-08 14:29:11,0.039
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,6726,1,60000000000000000,0x0000000000000000000000000000000000000000,1739024903,1739024903,2025-02-08 14:28:23,0.06
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,7529,1,38000000000000000,0x0000000000000000000000000000000000000000,1738676603,1738676603,2025-02-04 13:43:23,0.038
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,8142,1,38000000000000000,0x0000000000000000000000000000000000000000,1738307303,1738307303,2025-01-31 07:08:23,0.038
0x75e46bdc52d4a2064dc8850ee0f52ee93bfe337c,4920,1,44000000000000000,0x0000000000000000000000000000000000000000,1738152539,1738152539,2025-01-29 12:08:59,0.044
